Sticky Rice,11/10/2023,08:00,08:30,sticky rice 10ea,Esan,who will beat the record,DONE
Sticky Rice,11/10/2023,09:00,10:30,grilled pork,Esan,who will get cancer first,DONE
Sticky Rice,11/10/2023,11:00,12:30,break,Esan,freestyle,DONE
Sticky Rice,11/10/2023,09:00,11:00,Drink beer,Southern,who will drink the most,UNDONE
Youngohm,01/10/2023,00:00,01:00,Doo white,Youngohm,track 1,DONE
Fishing,10/10/2023,10:00,15:00,Fishing marathon,Yacht,long time fishing,UNDONE
GOT7 World Tour,20/10/2023,08:00,09:00,NANANA,Ahgase,song 1,UNDONE
GOT7 World Tour,20/10/2023,09:10,10:00,Just right,Ahgase,Song 2,UNDONE
GOT7 World Tour,20/10/2023,10:10,11:00,If You Do,Ahgase,Song 3,UNDONE
Scuba diving,30/10/2023,11:00,14:00,diving,kirby,eat fish,UNDONE
Sticky Rice,11/10/2023,13:26,14:26,AA,AAA,AA,UNDONE
Dance with Ronaldo!,01/10/2023,08:00,10:00,Morning Dance,Dance 1,-,UNDONE
Dance with Ronaldo!,01/10/2023,11:00,13:00,Afternoon Dance,Dance 1,-,UNDONE
Dance with Ronaldo!,01/10/2023,14:00,16:00,Afternoon Dance 2,Dance 1,-,UNDONE
Dance with Ronaldo!,01/10/2023,17:00,19:00,Evening Dance,Dance 1,-,UNDONE
Dance with Ronaldo!,01/10/2023,19:00,21:00,Night Dance,Dance 1,-,UNDONE
Dance with Ronaldo!,10/10/2023,08:00,10:00,Morning Dance,Dance 2,-,UNDONE
Dance with Ronaldo!,10/10/2023,11:00,13:00,Afternoon Dance,Dance 2,-,UNDONE
Dance with Ronaldo!,10/10/2023,14:00,16:00,Afternoon Dance 2,Dance 2,-,UNDONE
Dance with Ronaldo!,10/10/2023,17:00,19:00,Evening Dance,Dance 2,-,UNDONE
Dance with Ronaldo!,10/10/2023,19:00,21:00,Night Dance,Dance 2,-,UNDONE
Dance with Ronaldo!,15/10/2023,08:00,10:00,Morning Dance,Dance 3,-,UNDONE
Dance with Ronaldo!,15/10/2023,11:00,13:00,Afternoon Dance,Dance 3,-,UNDONE
Dance with Ronaldo!,15/10/2023,14:00,16:00,Afternoon Dance 2,Dance 3,-,UNDONE
Dance with Ronaldo!,15/10/2023,17:00,19:00,Evening Dance,Dance 3,-,UNDONE
Dance with Ronaldo!,15/10/2023,19:00,21:00,Night Dance,Dance 3,-,UNDONE
Dance with Ronaldo!,18/10/2023,08:00,10:00,Morning Dance,Dance 4,-,UNDONE
Dance with Ronaldo!,18/10/2023,11:00,13:00,Afternoon Dance,Dance 4,-,UNDONE
Dance with Ronaldo!,18/10/2023,14:00,16:00,Afternoon Dance 2,Dance 4,-,UNDONE
Dance with Ronaldo!,18/10/2023,17:00,19:00,Evening Dance,Dance 4,-,UNDONE
Dance with Ronaldo!,18/10/2023,19:00,21:00,Night Dance,Dance 4,-,UNDONE
Dance with Ronaldo!,20/10/2023,08:00,10:00,Morning Dance,Dance 5,-,UNDONE
Dance with Ronaldo!,20/10/2023,11:00,13:00,Afternoon Dance,Dance 5,-,UNDONE
Dance with Ronaldo!,20/10/2023,14:00,16:00,Afternoon Dance 2,Dance 5,-,UNDONE
Dance with Ronaldo!,20/10/2023,17:00,19:00,Evening Dance,Dance 5,-,UNDONE
Dance with Ronaldo!,20/10/2023,19:00,21:00,Night Dance,Dance 5,-,UNDONE
Dance with Ronaldo!,01/10/2023,08:00,21:00,Organize Day 1,Team Organizer,-,UNDONE
Dance with Ronaldo!,10/10/2023,08:00,21:00,Organize Day 2,Team Organizer,-,UNDONE
Dance with Ronaldo!,15/10/2023,08:00,21:00,Organize Day 3,Team Organizer,-,UNDONE
Dance with Ronaldo!,18/10/2023,08:00,21:00,Organize Day 4,Team Organizer,-,UNDONE
Dance with Ronaldo!,20/10/2023,08:00,21:00,Organize Day 5,Team Organizer,-,UNDONE
GOT7 World Tour,20/10/2023,11:00,14:00,Fan meeting,Ahgase,Meet Got 7!,UNDONE
GOT7 World Tour,20/10/2023,14:10,14:20,Never Ever,Ahgase,Song 4,UNDONE
GOT7 World Tour,20/10/2023,14:30,19:00,Fan meeting 2,Ahgase,Meet Got 7,UNDONE
Travis Scott,14/09/2023,10:00,13:00,Morning Organize,Team Travis,-,DONE
Travis Scott,14/09/2023,13:00,14:00,Break,Team Travis,-,DONE
Travis Scott,14/09/2023,14:00,17:00,Afternoon Organize,Team Travis,-,DONE
Travis Scott,14/09/2023,17:00,18:00,Break 2,Team Travis,-,DONE
Travis Scott,14/09/2023,18:00,22:00,Night Organize,Team Travis,-,DONE
Travis Scott,14/09/2023,10:30,12:30,UTOPIA,Concert,UTOPIA Album,DONE
Travis Scott,14/09/2023,13:00,15:00,ASTROWORLD,Concert,ASTROWORLD Album,DONE
Travis Scott,14/09/2023,15:30,17:30,Travis La Flame,Concert,Travis La Flame Album,DONE
Travis Scott,14/09/2023,18:00,20:00,JACKBOYS,Concert,JACKBOYS Album,DONE
Travis Scott,14/09/2023,20:30,22:00,Birds in the Trap Sing McKnight,Concert,Birds in the Trap Sing McKnight Album,DONE
Sticky Rice,11/10/2023,12:30,14:30,Som tum,Esan,Papaya Salad,DONE
Sticky Rice,11/10/2023,14:30,18:00,Soi Ju,Esan,Esan Meta food,DONE
Youngohm,01/10/2023,01:10,02:00,TOO YOUNG 2 LOVE,Youngohm,track 2,DONE
Youngohm,01/10/2023,02:10,03:00,Very Very Small,Youngohm,track 3,DONE
Youngohm,01/10/2023,03:00,04:00,free,Youngohm,-,DONE
Youngohm,01/10/2023,04:00,05:00,Younggu,Youngohm,-Special Guest-,DONE
Scuba diving,30/10/2023,14:00,17:00,diving 2,kirby,eat fish X2,UNDONE
Scuba diving,30/10/2023,17:00,19:00,diving 3,kirby,eat fish X3,UNDONE
Scuba diving,30/10/2023,19:00,20:00,diving 4,kirby,eat fish X4,UNDONE
Scuba diving,30/10/2023,20:00,21:00,diving 5,kirby,eat fish X5,UNDONE
